Trabajador,Sexo,Delegacion / Municipio
    BT0002,H,NAULCALPAN DE JUAREZ 
    BT0009,H,MAGDALENA CONTRERAS
    BT0014,H,CUAUHTEMOC
    BT0016,H,GUSTAVO A. MADERO
    BT0019,M,ALVARO OBREGON
    BT0020,H,CORREGIDORA
    BT0022,H,ATIZAPAN DE ZARAGOZA
    BT0027,M,NAUCALPAN
    BT0041,H,EDO. DE MEXICO
    BT0043,H,MEXICO
    BT0051,H,VENUSTIANO CARRANZA
    BT0055,H,ATIZAPAN DE ZARAGOZA
    BT0059,M,AZCAPOTZALCO
    BT0060,H,XOCHIMILCO
    BT0070,H,NULL
    BT0089,H,TLALNEPANTLA
    BT0093,M,TLALNEPANTLA
    BT0099,H,CHALCO
    BT0101,H,IZTACALCO
    BT0105,H,CUAUHTEMOC
    BT0106,H,NEZAHUALCOYOTL
    BT0119,H,TULTITLAN
    BT0136,H,PACHUCA
    BT0139,H,PACHUCA
    BT0140,H,VILLAS DEL ALAMO
    BT0141,H,NAUCALPAN
    BT0144,H,ECATEPEC
    BT0152,M,PACHUCA
    BT0173,M,"ACAYUCA, ZAPOTLAN DE JUAREZ"
    BT0182,M,"PACHUCA, HGO."
    BT0184,H,"PACHUCA, HGO."
    BT0194,H,PACHUCA
    BT0197,H,AZCAPOTZALCO
    BT0200,H,TLAHUAC
    BT0201,M,MIGUEL HIDALGO
    BT0203,H,NAUCALPAN
    BT0216,H,ATOTONILCO EL GRANDE
    BT0217,H,MIXQUIAHUALA DE JUAREZ
    BT0222,H,MINERAL DE LA REFORMA
    BT0231,H,BENITO JUAREZ
    BT0237,H,PACHUCA
    BT0247,M,PACHUCA DE SOTO
    BT0249,M,MINERAL DE LA REFORMA
    BT0250,H,SAN AGUSTIN
    BT0261,M,ACTOPAN
    BT0266,M,PACHUCA DE SOTO
    BT0279,H,IXMIQUILPAN
    BT0283,H,PACHUCA
    BT0285,M,MINERAL DE LA REFORMA
    BT0301,H,PACHUCA
    BT0310,M,GUSTAVO A MADERO
    BT0314,H,ALVARO OBREGON
    BT0320,M,PACHUCA
    BT0321,M,IXMIQUILPAN
    BT0322,M,CHILCUAUTLA
    BT0323,M,PACHUCA
    BT0324,H,PACHUCA
    BT0325,H,PACHUCA
    BT0327,H,PACHUCA
    BT0329,M,GUSTAVO A MEDERO
    BT0333,H,PACHUCA
    BT0338,H,ALVARO OBREGON
    BT0339,M,ATIZAPAN DE ZARAGOZA
    BT0340,H,IZTAPALAPA
    BT0342,H,AZCAPOTZALCO
    BT0343,H,ALVARO OBREGON
    BT0344,M,NEZAHUALCOYOTL
    BT0345,H,MIGUEL HIDALGO
    BT0353,M,SAN AGUSTIN
    BT0356,H,FRACC. LA CRUZ PACHUCA
    BT0358,H,PACHUCA
    BT0359,M,GUSTAVO A MADERO
    BT0366,H,IZTAPALAPA
    BT0367,M,PACHUCA
    BT0368,H,TLANEPANTLA
    BT0371,H,CUAJIMALPA
    BT0373,M,PACHUCA
    BT0377,H,ALVARO OBREGON
    BT0380,H,PACHUCA
    BT0382,H,IXTAPALUCA
    BT0384,H,BENITO JUAREZ
    BT0385,H,GUSTAVO A MADERO
    BT0388,H,ALVARO OBREGON
    BT0392,H,GUSTAVO A MADERO
    BT0394,H,NULL
    BT0396,M,ECATEPEC DE MORELOS
    BT0400,H,NEZAHUALCOYOTL
    BT0402,H,SAN MATEO ATENCO
    BT0404,M,GUSTAVO A MADERO
    BT0411,H,TLALNEPANTLA
    BT0415,H,IZTAPALAPA
    BT0416,H,IZTACALCO
    BT0420,H,NICOLAS ROMERO
    BT0421,M,PACHUCA
    BT0422,H,ZEMPOALA
    BT0424,H,ALVARO OBREGON
    BT0425,M,CUAUTITLAN IZCALLI
    BT0429,H,IZTAPALAPA
    BT0430,H,TLALPAN
    BT0432,H,CUAUHTEMOC
    BT0433,H,CUAUHTEMOC
    BT0436,H,NAUCALPAN
    BT0437,H,CUAUHTEMOC
    BT0438,M,PACHUCA
    BT0440,H,GUSTAVO A MADERO
    BT0441,M,ACTOPAN
    BT0442,M,CUAUHTEMOC
    BT0443,M,CD NEZAHUALCOYOTL
    BT0444,H,CUAUHTEMOC
    BT0446,M,NAUCALPAN DE JUAREZ
    BT0448,H,NAUCALPAN
    BT0449,H,TLALPAN
    BT0451,H,ATIZAPAN ZARAGOZA
    BT0453,M,MIXQUIAHUALA
    BT0455,M,GUSTAVO A MADERO
    BT0458,H,GUSTAVO A MADERO
    BT0459,H,TECAMAC
    BT0462,H,ECATEPEC DE MORELOS
    BT0463,H,NEZAHUALCOYOTL
    BT0464,H,CUAHUTEMOC
    BT0466,M,MINERAL DE LA REFORMA
    BT0468,M,IZTAPALAPA
    BT0478,H,AZCAPOTZALCO
    BT0482,H,COYOACAN
    BT0483,M,CUAUHTEMOC
    BT0487,H,GUSTAVO A MADERO
    BT0488,H,TLALNEPANTLA
    BT0490,H,ECATEPEC
    BT0491,H,BENITO JUAREZ
    BT0492,H,NAUCALPAN
    BT0493,H,AZCAPOTZALCO
    BT0496,M,IZTACALCO
    BT0498,H,TLAHUAC
    BT0501,H,COYOACAN
    BT0502,M,SAN MATEO CHIPILTEPEC
    BT0504,H,IZTAPALAPA
    BT0505,M,PACHUCA
    BT0507,H,ECATEPEC DE MORELOS
    BT0512,H,ECATEPEC
    BT0513,H,IZTAPALAPA
    BT0514,H,TULTITLAN
    BT0516,H,IZTAPALAPA
    BT0518,H,VENUSTIANO CARRANZA
    BT0519,H,ALVARO OBREGON
    BT0521,H,ALVARO OBREGON
    BT0522,H,PACHUCA DE SOTO
    BT0523,M,SAN AGUSTIN TLAXIACA
    BT0524,H,PACHUCA
    BT0525,H,MINERAL DE LA REFORMA
    BT0527,M,NEZAHUALCOYOTL
    BT0528,H,NEZAHUALCOYOTL
    BT0529,M,PACHUCA
    BT0530,M,MIGUEL HIDALGO
    BT0532,H,ECATEPEC DE MORELOS
    BT0535,M,BENITO JUAREZ
    BT0536,M,PACHUCA
    BT0537,M,IXMIQUILPAN
    BT0538,M,TEPEAPULCO
    BT0539,H,COYOACAN
    BT0540,H,CUAJIMALPA
    BT0541,H,ALVARO OBREGON
    BT0542,H,CUAUTLA
    BT0543,H,BENITO JUAREZ
    BT0544,H,CUAUTITLAN IZCALLI
    BT0546,H,TLALNEPANTLA
    BT0547,H,GUSTAVO A. MADERO
    BT0550,M,PACHUCA
    BT0552,H,ECATEPEC
    BT0553,H,MIGUEL HIDALGO
    BT0554,M,IZTAPALAPA
    BT0556,H,MAGDALENA CONTRERAS
    BT0557,H,MIGUEL HIDALGO
    BT0558,M,ECATEPEC
    BT0559,H,IXTAPALUCA
    BT0560,H,COYOACAN
    BT0561,H,CUAUHTEMOC
    BT0562,H,MAGDALENA CONTRERAS
    BT0563,H,GUSTAVO A. MADERO
    BT0564,H,MIGUEL HIDALGO
    BT0566,M,CUAUHTEMOC
    BT0567,H,D.F.
    BT0568,H,ATZCAPOZALCO
    BT0569,H,GUSTAVO A. MADERO
    BT0570,H,LOS REYES LA PAZ
    BT0571,M,NEZAHUALCOYOTL
    BT0572,M,CUAUTITLAN IZCALLI
    BT0573,H,GUSTAVO A MADERO
    BT0574,M,ECATEPEC
    BT0575,H,GUSTAVO A MADERO
    BT0576,M,GUSTAVO A MADERO
    BT0577,H,GUSTAVO A MADERO
    BT0578,H,CUAUTITLAN IZCALLI
    BT0579,H,ECATEPEC
    BT0580,H,ECATEPEC
    BT0582,H,COYOACAN
    BT0584,H,CUAJIMALPA
    BT0585,H,IZTAPALAPA
    BT0586,H,MAGDALENA CONTRERAS
    BT0587,M,CUAUTITLAN
    BT0588,H,COYOACAN
    BT0590,H,TIZAYUCA
    BT0591,H,BENITO JUAREZ
    BT0592,H,AZCAPOTZALCO
    BT0593,M,NEZAHUALCOYOTL
    CM0002,H,TLALPAN
    CM0005,M,IZTACALCO
    CM0006,H,ECATEPEC DE MORELOS
    CM0007,M, 
    CM0008,H,TLATELOLCO
    CM0009,H,IZTACALCO
    CM0010,H,ECATEPEC
    CM0011,H,NAUCALPAN
    CM0012,M,UNIDAD LOMA HERMOSA
    CM0013,H,ECATEPEC DE MORELOS
    CM0014,H,BENITO JUAREZ
    CM0015,M,ALVARO OBREGON
    CM0017,H,MAGDALENA CONTRERAS
    CM0019,M,AZCAPOTZALCO
    CM0020,M,CUAUHTEMOC
    CM0021,M,CUAUHTEMOC
    CM0022,M,NEZAHUALCOYOTL
    CM0023,M,CUAUHTEMOC
    CM0024,M,AZCAPOTZALCO
    CM0025,H,TLAHUAC
    CM0026,H,COYOACAN
    CM0027,H,TULTEPEC
    CM0028,H,ALVARO OBREGON
    CM0031,H,CUAUHTEMOC
    CM0032,H,GUSTAVO A. MADERO
    CM0035,M,NAUCALPAN DE JUAREZ
    CM0038,H,GUSTAVO A. MADERO
    CM0039,H,GUSTAVO A. MADERO
    CM0042,H,MIGUEL HIDALGO
    CM0043,H,BENITO JUAREZ
    CM0045,H,ECATEPEC EDO. DE M
    CM0047,H,CUAHUTEMOC
    CM0051,M,ECATEPEC
    CM0055,M,CD. NEZAHUALCOYOTL
    CM0056,M,AZCAPOTZALCO
    CM0057,H,TLALPAN
    CM0061,H,CUAUTITLAN
    CM0071,H,AZCAPOTZALCO
    CM0075,H,GUSTAVO A. MADERO
    CM0076,H,AZCAPOTZALCO
    CM0077,H,ECATEPEC
    CM0082,H,NULL
    CM0083,H,NAUCALPAN
    CM0086,M,BENITO JUAREZ
    CM0087,M,MIGUEL HIDALGO
    CM0091,H,MIGUEL HIDALGO
    CM0092,H,ATIZAPAN
    CM0099,H,AZCAPOTZALCO
    CM0100,H,CUAUHTEMOC
    CM0105,M,TLALPAN
    CM0107,M,CUAUHTEMOC
    CM0110,H,BENITO JUAREZ
    CM0111,H,COYOACAN
    CM0112,H,GUSTAVO A. MADERO
    CM0116,H,NAUCALPAN
    CM0120,M,VENUSTIANO CARRANZA
    CM0123,H,ALVARO OBREGON
    CM0126,M,COYOACAN
    CM0133,M,TLALPAN
    CM0142,H,BENITO JUAREZ
    CM0145,H,GUSTAVO A. MADERO
    CM0146,H,TLALPAN
    CM0147,M,IZTACALCO
    CM0148,H,ALVARO OBREGON
    CM0153,H,GUSTAVO A. MADERO
    CM0155,M,TLALPAN
    CM0165,M,TLAHUAC
    CM0166,M,IZTALAPA
    CM0180,H,BENITO JUAREZ
    CM0185,M,IZTAPALAPA
    CM0186,H,CUAJIMALPA
    CM0189,H,ALVARO OBREGON
    CM0197,M,NAUCALPAN
    CM0209,H,CUAUHTEMOC
    CM0210,M,GUSTAVO A. MADERO
    CM0211,H,BENITO JUAREZ
    CM0213,M,TLALNEPANTLA
    CM0215,H,TOLUCA
    CM0221,M,GUSTAVO A. MADERO
    CM0230,M,MAGDALENA CONTRERAS
    CM0236,M,TLALPAN
    CM0239,H,BENITO JUAREZ
    CM0240,M,MIGUEL HIDALGO
    CM0243,M,GUSTAVO A MADERO
    CM0246,M,NEZAHUALCOYOTL
    CM0247,M,BENITO JUAREZ
    CM0248,M,NAUCALPAN
    CM0257,H,HUIXQUILUCAN
    CM0259,H,TLALPAN
    CM0260,H,COYOACAN
    CM0261,H,IZTAPALAPA
    CM0263,M,TLALNEPANTLA DE BAZ
    CM0275,M,TOLUCA
    CM0281,M,CUAJIMALPA
    CM0289,H,ECATEPEC
    CM0303,M,AZCAPOTZALCO
    CM0308,H,BENITO JUAREZ
    CM0313,H,NULL
    CM0323,H,TLALPAN
    CM0329,M,NAUCALPAN
    CM0332,H,TLANEPANTLA
    CM0340,H,GUSTAVO A MADERO
    CM0346,H,GUSTAVO A. MADERO
    CM0350,H,ALVARO OBREGON
    CM0354,H,MIGUEL HIDALGO
    CM0355,M,GUADALUPE NUEVO LEON
    CM0356,M,NAUCALPAN
    CM0358,M,ECATEPEC EDO MEX
    CM0368,M,ALVARO OBREGON
    CM0371,H,COACALCO
    CM0373,M,CUAJIMALPA
    CM0383,H,ALVARO OBREGON
    CM0397,M,CUAUTITLAN IZCALLI
    CM0404,H,IZTACALCO
    CM0411,M,COYOACAN
    CM0415,H,HUIXQUILUCAN
    CM0420,M,COYOACAN
    CM0422,H,COACALCO
    CM0437,M,CUAUHTEMOC
    CM0445,H,BENITO JUAREZ
    CM0449,H,ALVARO OBREGON
    CM0452,M,AZCAPOTZALCO
    CM0454,M,CUCUHTEMOC
    CM0455,H,TLALPAN
    CM0457,M,IZTAPALAPA
    CM0459,M,CUAUTITLAN IZCALLI
    CM0460,M,GUSTAVO A MADERO
    CM0467,M,GUSTAVO A MADERO
    CM0471,H,IZCALLI
    CM0477,H,NAUCALPAN DE JUAREZ
    CM0478,M,IZTAPALAPA
    CM0480,M,TALNEPANTLA
    CM0484,M,CUAUHTEMOC
    CM0490,M,VENUSTIANO CARRANZA
    CM0499,M,IZTAPALAPA
    CM0504,M,ECATEPEC
    CM0505,M,NAUCALPAN
    CM0510,H,NEZAHUALCOYOTL
    CM0512,M,DISTRITO FEDERAL
    CM0515,M,TLALPAN
    CM0519,M,MIGUEL HIDALGO
    CM0523,M,COYOACAN
    CM0527,H,MIGUEL HIDALGO
    CM0533,M,MIGUEL HIDALGO
    CM0539,H,GUSTAVO A MADERO
    CM0544,H,BENITO JUAREZ
    CM0545,M,TLALNEPANTLA
    CM0546,M,AZCAPOTZALCO
    CM0549,M,GUSTAVO A MADERO
    CM0552,M,IZTACALCO
    CM0555,M,IZTAPALAPA
    CM0557,M,GUSTAVO A MEDERO
    CM0559,H,CUERNAVACA
    CM0560,H,BENITO JUAREZ
    CM0567,H,COYOACAN
    CM0570,H,TLALNEPANTLA
    CM0573,M,MIGUEL HIDALGO
    CM0578,H,ALVARO OBREGON
    CM0581,H,ALVARO OBREGON
    CM0584,H,AZCAPOTZALCO
    CM0588,M,NULL
    CM0593,M,TLAHUAC
    CM0594,M,IZTACALCO
    CM0596,M,BENITO JUAREZ
    CM0597,M,GUSTAVO A MADERO
    CM0609,M,VENUSTIANO CARRANZA
    CM0612,M,XOCHIMILCO
    CM0614,H,TLALPAN
    CM0616,H,GUSTAVO A MADERO
    CM0617,M,COYOACAN
    CM0621,H,TLALNEPANTLA
    CM0623,H,TLALPAN
    CM0626,H,AZCAPOTZALCO
    CM0627,M,BENITO JUAREZ
    CM0631,H,COYOACAN
    CM0633,M,COACALCO
    CM0648,H,GUADALUPE
    CM0653,M,TLALNEPANTLA
    CM0658,M,AZCAPOTZALCO
    CM0666,H,VENUSTIANO CARRANZA
    CM0676,H,CAPULHUAC
    CM0677,H,BENITO JUAREZ
    CM0683,H,ECATEPEC
    CM0687,H,ALVARO OBREGON
    CM0692,H,BENITO JUAREZ
    CM0694,H,MIGUEL HIDALGO
    CM0695,H,ECATEPEC
    CM0701,H,V CARRANZA
    CM0709,M,BENITO JUAREZ
    CM0711,M,IZTAPALAPA
    CM0724,H,NAUCALPAN
    CM0725,H,COYOACAN
    CM0727,H,VENUSTIANO CARRANZA
    CM0730,M,COYOACAN
    CM0734,M,XOCHIMILCO
    CM0735,H,"METEPEC, EDO DE MEXICO"
    CM0739,M,ECATEPEC
    CM0744,M,TLANEPANTLA
    CM0748,H,ALVARO OBREGON
    CM0755,H,TLALPAN
    CM0756,H,GUSTAVO A. MADERO
    CM0765,M,IZTAPALAPA
    CM0766,H,TLALPAN
    CM0769,H,COYOACAN
    CM0771,H,HUIXQUILUCAN
    CM0774,M,METEPEC
    CM0775,M,GUSTAVO A MADERO
    CM0777,H,NEZAHUALCOYOTL
    CM0779,H,CUAUHTEMOC
    CM0781,M,BENITO JUAREZ
    CM0785,H,IXTAPALUCA
    CM0787,H,TLALPAN
    CM0789,H,GUSTAVO A. MADERO
    CM0790,H,IZTAPALAPA
    CM0792,M,IZTAPALAPA
    CM0799,M,IXTAPALUCA
    CM0801,H,MIGUEL HIDALGO
    CM0802,H,CUAUHTEMOC
    CM0803,M,BENITO JUAREZ
    CM0811,M,CIUDAD NEZAHUALCOYOTL
    CM0812,H,ATIZAPAN DE ZARAGOZA
    CM0817,M,IZTAPALAPA
    CM0818,M,ECATEPEC
    CM0819,M,ALVARO OBREGON
    CM0829,M,COYOACAN
    CM0830,H,ECATEPEC
    CM0831,M,COYOACAN
    CM0835,M,"TULYEHUALCO, XOCHIMILCO"
    CM0841,M,NEZAHUALCOYOTL
    CM0842,M,ECATEPEC DE MORELOS
    CM0844,M,IZTAPALAPA
    CM0849,M,GUSTAVO A. MADERO
    CM0851,M,GUSTAVO A. MADERO
    CM0856,H,CUERNAVACA
    CM0860,M,XOCHIMILCO
    CM0866,M,TULTITLAN
    CM0871,M,TLALNEPANTLA DE BAZ
    CM0874,M,NEZAHUALCOYOTL
    CM0875,H,TLALNEPANTLA
    CM0878,H,IZTACALCO
    CM0879,H,CUAJIMALPA
    CM0880,H,CUAUHTEMOC
    CM0885,H,IZTAPALAPA
    CM0886,M,MIGUEL HIDALGO
    CM0887,M,IZTAPALAPA
    CM0888,M,CUAUHTEMOC
    CM0892,M,NAUCALPAN DE JUAREZ
    CM0893,M,MIGUEL HIDALGO
    CM0897,M,COYOACAN
    CM0900,M,MIGUEL HIDALGO
    CM0901,M,COYOACAN
    CM0903,H,TLALPAN
    CM0904,H,IZTAPALAPA
    CM0906,H,CUAUHTEMOC
    CM0907,H,GUSTAVO A. MADERO
    CM0913,M,CUAUTITLAN IZCALLI
    CM0914,H,ECATEPEC
    CM0918,M,CUAUTITLAN IZCALLI
    CM0921,M,VENUSTIANO CARRANZA
    CM0922,H,BENITO JUAREZ
    CM0923,M,TLALPAN
    CM0928,H,COYOACAN
    CM0930,H,CUAUHTEMOC
    CM0933,M,VENUSTIANO CARRANZA
    CM0934,H,MILPA ALTA
    CM0936,M,MIGUEL HIDALGO
    CM0940,H,MIGUEL HIDALGO
    CM0941,H,TLALPAN
    CM0943,H,AZCAPOTZALCO
    CM0944,H,IZTACALCO
    CM0945,H,COYOACAN
    CM0946,H,TLALNEPANTLA DE BAZ
    CM0948,H,TEXCOCO
    CM0951,M,TLALMANALCO
    CM0952,H,ALVARO OBREGON
    CM0953,H,ALVARO OBREGON
    CM0957,H,BENITO JUAREZ
    CM0958,M,TECAMAC
    CM0960,M,COYOACAN
    CM0961,M,VENUSTIANO CARRANZA
    CM0962,M,NAUCALPAN
    CM0964,M,BENITO JUAREZ
    CM0965,M,TLALNEPANTLA DE BAZ
    CM0966,M,NULL
    CM0967,H,NAUCALPAN DE JUAREZ
    CM0969,M,BENITO JUAREZ
    CM0970,M,ALVARO OBREGON
    CM0971,H,IZTAPALAPA
    CM0973,M,XOCHIMILCO
    CM0974,H,ALVARO OBREGON
    CM0976,M,GUSTAVO A MADERO
    CM0980,H,IXTAPALUCA
    CM0981,M,BENITO JUAREZ
    CM0983,M,IZTAPALAPA
    CM0988,H,NEZAHUALCOYOTL
    CM0989,H,COYOACAN
    CM0990,H,XOCHIMILCO
    CM0994,H,GUSTAVO A. MADERO
    CM0996,H,COYOACAN
    CM0997,M,ECATEPEC
    CM0998,M,NAUCALPAN
    CM1004,H,GUSTAVO A. MADERO
    CM1005,H,BENITO JUAREZ
    CM1006,M,TLALNEPANTLA
    CM1007,H,CUAUHTEMOC
    CM1008,M,MIGUEL HIDALGO
    CM1011,H,XOCHIMILCO
    CM1014,M,IZTACALCO
    CM1015,M,CHIMALHUACAN
    CM1016,M,GUSTAVO A. MADERO
    CM1017,M,BENITO JUAREZ
    CM1018,M,TLALPAN
    CM1019,H,IZTAPALAPA
    CM1021,M,GUSTAVO A. MADERO
    CM1023,H,AZCAPOTZALCO
    CM1024,M,ALVARO OBREGON
    CM1025,H,TLALNEPANTLA
    CM1028,M,ECATEPEC DE MORELOS
    CM1029,H,CUAUTITLAN IZCALLI
    CM1031,M,COYOACAN
    CM1032,H,COYOACAN
    CM1033,M,MIGUEL HIDALGO
    CM1034,H,TEXCOCO
    CM1035,M,VENUSTIANO CARRANZA
    CM1037,H,NAUCALPAN DE JUAREZ
    CM1038,M,IXTAPALUCA
    CM1039,H,MIGUEL HIDALGO
    CM1041,M,BENITO JUAREZ
    CM1042,H,PUEBLA
    CM1043,H,COYOACAN
    CM1044,H,VENUSTIANO CARRANZA
    CM1045,M,IZTAPALAPA
    CM1046,H,BENITO JUAREZ
    CM1047,H,IZTAPALAPA
    CM1048,H,CUAJIMALPA
    CM1049,M,BENITO JUAREZ
    CM1050,M,BENITO JUAREZ
    CM1053,M,CUAUHTEMOC
    CM1054,M,PUEBLA
    CM1055,H,CUAUHTEMOC
    CM1056,H,TLALPAN
    CM1057,M,BENITO JUAREZ
    CM1058,H,METEPEC
    CM1059,M,BENITO JUAREZ
    CM1060,H,IZTAPALAPA
    CM1062,M,IZTAPALAPA
    CM1065,M,VENUSTIANO CARRANZA
    CM1066,M,TLALNEPANTLA DE BAZ
    CM1069,M,TLALPAN
    CM1070,H,ALVARO OBGREGON
    CM1071,M,CUAUTITLAN IZCALLI
    CM1072,M,CUAHUTMEMOC
    CM1073,M,TLALPAN
    CM1074,H,COYOACAN
    CM1075,H,HUIXQUILUCAN
    CM1076,H,GUSTAVO A MADERO
    CM1078,M,MIGUEL HIDALGO
    CM1079,H,COYOACAN
    CM1081,M,CUAUHTEMOC
    CM1082,M,ACOLMAN
    CM1083,M,NUEVO LEON
    CM1084,M,COYOACAN
    CM1085,H,COYOACAN
    CM1086,H,ECATEPEC
    CM1087,M,AZCAPOTZALCO
    CM1088,M,TECAMAC
    CM1090,H,TLALPAN
    CM1091,H,NEZAHUALCOYOTL
    CM1092,M,IZTACALCO
    CM1095,H,ALVARO OBREGON
    CM1097,H,AZCAPOTZALCO
    CM1098,M,BENITO JUAREZ
    CM1099,H,MIGUEL HIDALGO
    CM1101,H,MIGUEL HIDALGO
    CM1102,H,TEXCOCO
    CM1103,M,MIGUEL HIDALGO
    CM1104,M,CUAUHTEMOC
    CM1105,M,MIGUEL HIDALGO
    CM1106,H,IZTAPALAPA
    CM1107,M,TOLUCA
    CM1108,M,CUAUHTEMOC
    CM1109,M,BENITO JUAREZ
    CM1110,H,ECATEPEC
    CM1111,M,GUSTAVO A. MADERO
    CM1112,M,ECATEPEC
    CM1113,H,COYOACAN
    CM1114,M,NEZAHUALCOYOTL
    CM1115,H,VENUSTIANO CARRANZA
    CM1116,H,ECATEPEC
    CM1117,H,GUSTAVO A MADERO
    CM1118,H,COACALCO
    CM1119,M,CUAUHTEMOC
    CM1120,H,NEZAHUALCOYOTL
    CM1121,H,IXTAPALUCA
    CM1122,H,CUAJIMALPA
    CM1123,H,ALVARO OBREGON
    CM1124,H,ALVARO OBREGON
    CM1125,M,NAUCALPAN DE JUAREZ
    SP0003,H,NULL
    SP0004,H,MEXICO
    SP0005,H,COACALCO
    SP0007,H,AZCAPOTZALCO
    SP0008,H,TLALPAN
    SP0010,H,MEXICO
    SP0011,H,NULL
    SP0012,H,NAUCALPAN
    SP0014,H,MEXICO
    SP0015,H,TLALPAN
    SP0018,M,ALVARO OBREGON
    SP0019,H,ECATEPEC
    SP0020,H,IZTAPALAPA
    SP0023,M,MEXICO
    SP0025,H,MEXICO
    SP0026,H,MEXICO
    SP0027,M,NEZAHUALCOYOTL
    SP0029,H,XOCHIMILCO
    SP0030,H,TLALPAN
    SP0031,M,CUAJIMALPA
    SP0032,H,TLALPAN
    SP0037,M,COYOACAN
    SP0040,H,MEXICO
    SP0041,M,MEXICO
    SP0046,M,MEXICO
    SP0047,H,MEXICO
    SP0051,M,COYOACAN
    SP0054,H,IZTAPALAPA
    SP0056,H,MIGUEL HIDALGO
    SP0057,M,MIGUEL HIDALGO
    SP0058,M,HUIXQUILUCAN
    SP0059,H,ALVARO OBREGON
    SP0060,H,CUAJIMALPA
    SP0061,H,NAUCALPAN
    SP0063,M,CUAUHTEMOC
    SP0066,M,CUAUHTEMOC
    SP0069,M,TLALPAN
    SP0070,H,NULL
    SP0072,M,TLALNEPANTLA
    SP0073,H,TLALPAN
    SP0074,M,MIGUEL HIDALGO
    SP0076,H,BENITO JUAREZ
    SP0077,H,ATIZAPAN DE ZARAGOZA
    SP0079,M,XOCHIMILCO
    SP0080,H,HUIXQUILUCAN
    SP0081,M,MIGUEL HIDALGO
    SP0082,M,MIGUEL HIDALGO
    SP0083,H,HUIXQUILUCAN
    SP0084,H,MIGUEL HIDALGO
    SP0085,H,CUAUHTEMOC
    SP0086,H,GUSTAVO A. MADERO
    SP0088,H,NAUCALPAN
    SP0089,H,TOLUCA DE LERDO
    SP0090,H,COYOACAN